Column Header,Value / Example,Note
Action,Add,Tells eBay to create a new listing.
Category,212,The standard ID for Trading Cards - Sport.
Title,2024 Prizm Silver CJ Stroud RC #1,"Max 80 characters. Include Year, Set, Player."
Description,[Paste generated description here],Use the Python/Excel output we created earlier.
ConditionID,3000,"Standard for ""Used"" (Sports cards are almost always 3000)."
PicURL,https://your-host.com/img.jpg,eBay requires a direct URL to your photos.
Format,FixedPrice or Auction,FixedPrice is usually best for bulk cards.
StartPrice,19.99,Your asking price.
Quantity,1,Usually 1 for specific sports cards.
Location,"Your City, State",Your shipping origin.
C:Graded,No,Item Specific: Change to Yes for PSA/BGS.
